,name,name_link,critics_consensus,score_critical,score_audience,count_critical,count_audience,abstract,Rating,Genre,Directed_By,Written_By,In_Theaters,On_Disc_Streaming,Box_Office,Runtime,Studio
0,Captain America: The First Avenger,captain_america_the_first_avenger,"With plenty of pulpy action, a pleasantly retro vibe, and a handful of fine performances, Captain America is solidly old-fashioned blockbuster entertainment.",80%,74%,262,"187,978","Captain America: The First Avenger will focus on the early days of the Marvel Universe when Steve Rogers (Chris Evans) volunteers to participate in an experimental program that turns him into the Super Soldier known as Captain America. As Captain America, Rogers joins forces with Bucky Barnes (Sebastian Stan) and Peggy Carter (Hayley Atwell) to wage war on the evil HYDRA organization, led by the villainous Red Skull (Hugo Weaving.) -- (C) Paramount",PG-13 (for intense sequences of sci-fi violence and action),"[Action & Adventure, Mystery & Suspense]",[Joe Johnston],"[Christopher Markus, Stephen McFeely]","Jul 22, 2011","Oct 25, 2011","$176,636,816",124 minutes,[Paramount Pictures]
1,Iron Man,iron_man,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.",93%,91%,274,"1,080,703","Billionaire industrialist and genius inventor Tony Stark is kidnapped and forced to build a devastating weapon. Instead, using his intelligence and ingenuity, Tony builds a high-tech suit of armor and escapes captivity. When he uncovers a nefarious plot with global implications, he dons his powerful armor and vows to protect the world as Iron Man.","PG-13 (for some intense sequences of sci-fi action and violence, and brief suggestive content)","[Action & Adventure, Science Fiction & Fantasy]",nan,"[Matthew Hollaway, Mark Fergus, Hawk Ostby, Art Marcum, Matt Holloway]","Apr 14, 2008","Sep 30, 2008","$318,298,180",126 minutes,[Paramount Pictures]
2,The Incredible Hulk,the_incredible_hulk,"The Incredible Hulk may not be quite the smashing success that fans of Marvel's raging behemoth might hope for, but it offers more than enough big green action to make up for its occasionally puny narrative.",67%,70%,227,"738,333","Mild-mannered scientist Bruce Banner has been traveling the globe in search of the antidote that will allow him to break free from his primal alter ego, but both the warmongers who long to exploit him for their own gain and a horrific creature known as The Abomination are determined to stop him from achieving his noble goal in Transporter 2 director Louis Leterrier's take on the classic Marvel Comics superhero tale. For years, Bruce (Edward Norton) has been living in the shadows, pursued by the military and haunted by the rage within. But traveling the world in secrecy isn't easy, and as hard as he tries Bruce can't get Betty Ross (Liv Tyler) off his mind. The daughter of Bruce's nemesis Gen. Thaddeus ""Thunderbolt"" Ross (William Hurt), Betty represents everything that is beautiful in the world to a man who lives his life on the run. Eventually, Bruce returns to civilization and faces the wrath of The Abomination. While the Hulk may be a formidable force of nature, The Abomination is decidedly more powerful, and determined to destroy Bruce Banner. Created when KGB agent Emil Blonsky (Tim Roth) exposed himself to a higher dose of the same radiation that transformed Bruce into The Hulk, The Abomination is unable to change back into human form and holds Bruce accountable for his frightful condition. With time fast running out for both Bruce and The Hulk, New York City is about to become the ultimate urban battle zone as two of the most powerful creatures ever to walk the earth clash in a massive, no-holds-barred fight to the finish. ~ Jason Buchanan, Rovi","PG-13 (for sequences of intense action violence, some frightening sci-fi images and brief suggestive content)","[Action & Adventure, Science Fiction & Fantasy]",[Louis Leterrier],[Zak Penn],"Jun 12, 2008","Oct 21, 2008","$134,518,390",112 minutes,[Universal Pictures]
3,Iron Man 2,iron_man_2,"It isn't quite the breath of fresh air that Iron Man was, but this sequel comes close with solid performances and an action-packed plot.",73%,71%,287,"479,041","In ""Iron Man 2,"" the world is aware that billionaire inventor Tony Stark is the armored Super Hero Iron Man. Under pressure from the government, the press and the public to share his technology with the military, Tony is unwilling to divulge the secrets behind the Iron Man armor because he fears the information will slip into the wrong hands. With Pepper Potts and James ""Rhodey"" Rhodes at his side, Tony forges new alliances and confronts powerful new forces.","PG-13 (for sequences of intense sci-fi action and violence, and some language)","[Action & Adventure, Science Fiction & Fantasy]",nan,[Justin Theroux],"May 7, 2010","Sep 28, 2010","$312,057,433",124 minutes,[Paramount Studios]
4,Thor,thor,"A dazzling blockbuster that tempers its sweeping scope with wit, humor, and human drama, Thor is mighty Marvel entertainment.",77%,76%,281,"246,245","The epic adventure Thor spans the Marvel Universe from present day Earth to the mystical realm of Asgard. At the center of the story is The Mighty Thor, a powerful but arrogant warrior whose reckless actions reignite an ancient war. As a result, Thor is banished to Earth where he is forced to live among humans. When the most dangerous villain of his world sends its darkest forces to invade Earth, Thor learns what it takes to be a true hero.-- (C) Paramount Pictures",PG-13 (for sequences of intense sci-fi action and violence),"[Action & Adventure, Drama, Science Fiction & Fantasy]",[Kenneth Branagh],"[Zack Stentz, Ashley Edward Miller, Mark Protosevich, Don Payne]","May 6, 2011","Sep 13, 2011","$181,015,141",115 minutes,[Paramount Pictures]
5,The Avengers,marvels_the_avengers,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",92%,91%,343,"1,133,574","Marvel Studios presents Marvel's The Avengers-the Super Hero team up of a lifetime, featuring iconic Marvel Super Heroes Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When an unexpected enemy emerges that threatens global safety and security, Nick Fury, Director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins. -- (C) Marvel","PG-13 (for intense sequences of sci-fi violence and action throughout, and a mild drug reference)","[Action & Adventure, Science Fiction & Fantasy]",[Joss Whedon],[Joss Whedon],"May 4, 2012","Sep 25, 2012","$623,279,547",142 minutes,[Walt Disney Pictures]
6,Iron Man Three,iron_man_3,"With the help of its charismatic lead, some impressive action sequences, and even a few surprises, Iron Man 3 is a witty, entertaining adventure and a strong addition to the Marvel canon.",79%,78%,311,"483,866","Marvel's ""Iron Man 3"" pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy's hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man? (c) Disney","PG-13 (for sequences of intense sci-fi action and violence throughout, and brief suggestive content)","[Action & Adventure, Science Fiction & Fantasy]",[Shane Black],"[Drew Pearce, Shane Black]","May 3, 2013","Sep 24, 2013","$408,992,272",109 minutes,[Walt Disney Pictures]
7,Thor: The Dark World,thor_the_dark_world,"It may not be the finest film to come from the Marvel Universe, but Thor: The Dark World still offers plenty of the humor and high-stakes action that fans have come to expect.",66%,76%,265,"309,522","Marvel's ""Thor: The Dark World"" continues the big-screen adventures of Thor, the Mighty Avenger, as he battles to save Earth and all the Nine Realms from a shadowy enemy that predates the universe itself. In the aftermath of Marvel's ""Thor"" and ""Marvel's The Avengers,"" Thor fights to restore order across the cosmos...but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all. (c) Disney","PG-13 (for sequences of intense sci-fi action and violence, and some suggestive content)","[Action & Adventure, Science Fiction & Fantasy]",[Alan Taylor],"[Christopher Yost, Christopher Markus, Stephen McFeely]","Nov 8, 2013","Feb 25, 2014","$206,360,018",112 minutes,[Walt Disney Pictures]
8,Captain America: The Winter Soldier,captain_america_the_winter_soldier_2014,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.",90%,92%,287,"280,702","After being deemed unfit for military service, Steve Rogers volunteers for a top secret research project that turns him into Captain America, a superhero dedicated to defending America's ideals.","PG-13 (for intense sequences of violence, gunplay and action throughout)","[Action & Adventure, Science Fiction & Fantasy]","[Joe Russo, Anthony Russo]","[Stephen McFeely, Christopher Markus]","Apr 4, 2014","Sep 9, 2014","$228,636,083",136 minutes,[Walt Disney Pictures]
9,Guardians of the Galaxy,guardians_of_the_galaxy,"Guardians of the Galaxy is just as irreverent as fans of the frequently zany Marvel comic would expect -- as well as funny, thrilling, full of heart, and packed with visual splendor.",91%,92%,312,"253,935","From Marvel, the studio that brought you the global blockbuster franchises of Iron Man, Thor, Captain America and The Avengers, comes a new team-the Guardians of the Galaxy. An action-packed, epic space adventure, Marvel's ""Guardians of the Galaxy"" expands the Marvel Cinematic Universe into the cosmos, where brash adventurer Peter Quill finds himself the object of an unrelenting bounty hunt after stealing a mysterious orb coveted by Ronan, a powerful villain with ambitions that threaten the entire universe. To evade the ever-persistent Ronan, Quill is forced into an uneasy truce with a quartet of disparate misfits-Rocket, a gun-toting raccoon, Groot, a tree-like humanoid, the deadly and enigmatic Gamora and the revenge-driven Drax the Destroyer. But when Quill discovers the true power of the orb and the menace it poses to the cosmos, he must do his best to rally his ragtag rivals for a last, desperate stand-with the galaxy's fate in the balance. (C) Walt Disney","PG-13 (for intense sequences of sci-fi violence and action, and for some language)","[Action & Adventure, Science Fiction & Fantasy]",[James Gunn (II)],"[Nicole Perlman, James Gunn (II)]","Aug 1, 2014","Dec 9, 2014","$270,592,504",121 minutes,[Walt Disney Pictures]
10,Guardians of the Galaxy Vol. 2,guardians_of_the_galaxy_vol_2,"Guardians of the Galaxy Vol. 2's action-packed plot, dazzling visuals, and irreverent humor add up to a sequel that's almost as fun -- if not quite as thrillingly fresh -- as its predecessor.",83%,87%,375,"107,269","Set to the all-new sonic backdrop of Awesome Mixtape #2, Marvel Studios' ""Guardians of the Galaxy Vol. 2"" continues the team's adventures as they traverse the outer reaches of the cosmos. The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage. Old foes become new allies and fan-favorite characters from the classic comics will come to our heroes' aid as the Marvel Cinematic Universe continues to expand.","PG-13 (for sequences of sci-fi action and violence, language, and brief suggestive content)","[Action & Adventure, Comedy, Science Fiction & Fantasy]",[James Gunn (II)],[James Gunn (II)],"May 5, 2017","Aug 22, 2017","$389,804,217",137 minutes,[Walt Disney Pictures]
11,Avengers: Age of Ultron,avengers_age_of_ultron,"Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.",75%,83%,349,"287,050","When Tony Stark jumpstarts a dormant peacekeeping program, things go awry and Earth's Mightiest Heroes, including Iron Man, Captain America, Thor, The Incredible Hulk, Black Widow and Hawkeye, are put to the ultimate test as they battle to save the planet from destruction at the hands of the villainous Ultron.","PG-13 (for intense sequences of sci-fi action, violence and destruction, and for some suggestive comments)","[Action & Adventure, Science Fiction & Fantasy]",[Joss Whedon],"[Stan Lee, Jack Kirby, Joss Whedon]","May 1, 2015","Oct 2, 2015","$429,113,729",141 minutes,[Walt Disney Pictures]
12,Ant-Man,antman,"Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",82%,86%,303,"165,575","The next evolution of the Marvel Cinematic Universe brings a founding member of The Avengers to the big screen for the first time with Marvel Studios' ""Ant-Man."" Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world. -- (C) Marvel",PG-13 (for sci-fi action violence),"[Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy]",[Peyton Reed],"[Joe Cornish, Edgar Wright, Adam McKay, Paul Rudd, Stan Lee, Larry Lieber, Jack Kirby]","Jul 17, 2015","Dec 8, 2015","$138,002,223",115 minutes,[Disney/Marvel]
13,Captain America: Civil War,captain_america_civil_war,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,91%,89%,389,"178,314","Marvel's ""Captain America: Civil War"" finds Steve Rogers leading the newly formed team of Avengers in their continued efforts to safeguard humanity. But after another incident involving the Avengers results in collateral damage, political pressure mounts to install a system of accountability, headed by a governing body to oversee and direct the team. The new status quo fractures the Avengers, resulting in two camps-one led by Steve Rogers and his desire for the Avengers to remain free to defend humanity without government interference, and the other following Tony Stark's surprising decision to support government oversight and accountability.","PG-13 (for extended sequences of violence, action and mayhem)","[Action & Adventure, Science Fiction & Fantasy]","[Anthony Russo, Joe Russo]","[Christopher Markus, Stephen McFeely]","May 6, 2016","Sep 13, 2016","$408,080,554",146 minutes,[Walt Disney Pictures]
14,Spider-Man: Homecoming,spider_man_homecoming,"Spider-Man: Homecoming does whatever a second reboot can, delivering a colorful, fun adventure that fits snugly in the sprawling MCU without getting bogged down in franchise-building.",92%,88%,362,"105,692","A young Peter Parker/Spider-Man (Tom Holland), who made his sensational debut in Captain America: Civil War, begins to navigate his newfound identity as the web-slinging super hero in Spider-Man: Homecoming. Thrilled by his experience with the Avengers, Peter returns home, where he lives with his Aunt May (Marisa Tomei), under the watchful eye of his new mentor Tony Stark (Robert Downey, Jr.). Peter tries to fall back into his normal daily routine--distracted by thoughts of proving himself to be more than just your friendly neighborhood Spider-Man--but when the Vulture (Michael Keaton) emerges as a new villain, everything that Peter holds most important will be threatened.","PG-13 (for sci-fi action violence, some language and brief suggestive comments)","[Action & Adventure, Drama, Science Fiction & Fantasy]",[Jon Watts],"[Jonathan M. Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna (II), Erik Sommers]","Jul 7, 2017","Oct 17, 2017","$334,166,825",133 minutes,[Sony Pictures]
15,Doctor Strange,doctor_strange_2016,"Doctor Strange artfully balances its outré source material against the blockbuster constraints of the MCU, delivering a thoroughly entertaining superhero origin story in the bargain.",89%,86%,345,"108,784","A disgraced former surgeon named Stephen Strange (Benedict Cumberbatch) becomes a powerful sorcerer under the tutelage of a mystic known as the Ancient One (Tilda Swinton). Rachel McAdams, Mads Mikkelsen, and Chiwetel Ejiofor co-star in this entry in the Marvel Cinematic Universe. Directed by Scott Derrickson (Sinister).","PG-13 (for sci-fi violence and action throughout, and an intense crash sequence)","[Action & Adventure, Science Fiction & Fantasy]",[Scott Derrickson],"[Thomas Dean Donnelly, Joshua Oppenheimer, Jon Spaihts, Scott Derrickson, C. Robert Cargill]","Nov 4, 2016","Feb 28, 2017","$232,630,718",130 minutes,[Walt Disney Pictures]
16,Thor: Ragnarok,thor_ragnarok_2017,"Exciting, funny, and above all fun, Thor: Ragnarok is a colorful cosmic adventure that sets a new standard for its franchise -- and the rest of the Marvel Cinematic Universe.",92%,87%,383,"92,154","In Marvel Studios' ""Thor: Ragnarok,"" Thor is imprisoned on the other side of the universe without his mighty hammer and finds himself in a race against time to get back to Asgard to stop Ragnarok--the destruction of his homeworld and the end of Asgardian civilization--at the hands of an all-powerful new threat, the ruthless Hela. But first he must survive a deadly gladiatorial contest that pits him against his former ally and fellow Avenger--the Incredible Hulk!","PG-13 (for intense sequences of sci-fi violence and action, and brief suggestive material)","[Action & Adventure, Drama, Science Fiction & Fantasy]",[Taika Waititi],[Eric Pearson],"Nov 3, 2017","Mar 6, 2018","$314,971,245",130 minutes,[Walt Disney Pictures]
17,Black Panther,black_panther_2018,Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,97%,79%,462,"87,485","""Black Panther"" follows T'Challa who, after the events of ""Captain America: Civil War,"" returns home to the isolated, technologically advanced African nation of Wakanda to take his place as King. However, when an old enemy reappears on the radar, T'Challa's mettle as King and Black Panther is tested when he is drawn into a conflict that puts the entire fate of Wakanda and the world at risk.","PG-13 (for prolonged sequences of action violence, and a brief rude gesture)","[Action & Adventure, Drama, Science Fiction & Fantasy]",[Ryan Coogler],"[Joe Robert Cole, Ryan Coogler]","Feb 16, 2018","May 15, 2018","$501,105,037",135 minutes,[Marvel Studios]
18,Avengers: Infinity War,avengers_infinity_war,"Avengers: Infinity War ably juggles a dizzying array of MCU heroes in the fight against their gravest threat yet, and the result is a thrilling, emotionally resonant blockbuster that (mostly) realizes its gargantuan ambitions.",85%,91%,427,"54,430","An unprecedented cinematic journey ten years in the making and spanning the entire Marvel Cinematic Universe, Marvel Studios' ""Avengers: Infinity War"" brings to the screen the ultimate, deadliest showdown of all time. The Avengers and their Super Hero allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","PG-13 (for intense sequences of sci-fi violence and action throughout, language and some crude references)","[Action & Adventure, Science Fiction & Fantasy]","[Anthony Russo, Joe Russo]","[Christopher Markus, Stephen McFeely]","Apr 27, 2018","Aug 14, 2018","$664,987,816",156 minutes,[Walt Disney Pictures]
19,Ant-Man and the Wasp,ant_man_and_the_wasp,"A lighter, brighter superhero movie powered by the effortless charisma of Paul Rudd and Evangeline Lilly, Ant-Man and The Wasp offers a much-needed MCU palate cleanser.",88%,76%,383,"22,372","From the Marvel Cinematic Universe comes a new chapter featuring heroes with the astonishing ability to shrink: ""Ant-Man and The Wasp."" In the aftermath of ""Captain America: Civil War,"" Scott Lang (Rudd) grapples with the consequences of his choices as both a Super Hero and a father. As he struggles to rebalance his home life with his responsibilities as Ant-Man, he's confronted by Hope van Dyne (Lilly) and Dr. Hank Pym (Douglas) with an urgent new mission. Scott must once again put on the suit and learn to fight alongside The Wasp as the team works together to uncover secrets from their past.",PG-13 (for some sci-fi action violence),"[Action & Adventure, Comedy, Science Fiction & Fantasy]",[Peyton Reed],"[Gabriel Ferrari, Andrew Barrer, Erik Sommers]","Jul 6, 2018","Oct 16, 2018",nan,118 minutes,[Walt Disney Pictures]
20,Captain Marvel,captain_marvel,"Packed with action, humor, and visual thrills, Captain Marvel introduces the MCU's latest hero with an origin story that makes effective use of the franchise's signature formula.",78%,58%,449,"80,405","The story follows Carol Danvers as she becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.","PG-13 (for sequences of sci-fi violence and action, and brief suggestive language)","[Action & Adventure, Science Fiction & Fantasy]","[Anna Boden, Ryan Fleck]","[Anna Boden, Ryan Fleck, Geneva Robertson-Dworet]","Mar 8, 2019",nan,nan,128 minutes,[Marvel Studios]
